ID,score,condition,type
0,70.0,observed,gains
1,70.0,observed,gains
2,50.0,observed,gains
3,35.0,observed,gains
4,30.0,observed,gains
5,30.0,observed,gains
6,50.0,observed,gains
7,80.0,observed,gains
8,45.0,observed,gains
9,78.0,observed,gains
10,30.0,observed,gains
11,50.0,observed,gains
12,100.0,observed,gains
13,150.0,observed,gains
14,90.0,observed,gains
15,70.0,observed,gains
16,100.0,observed,gains
17,100.0,observed,gains
18,48.0,observed,gains
19,36.0,observed,gains
20,80.0,observed,gains
21,80.0,observed,gains
22,50.0,observed,gains
23,100.0,observed,gains
24,90.0,observed,gains
25,60.0,observed,gains
26,50.0,observed,gains
27,80.0,observed,gains
28,60.0,observed,gains
29,80.0,observed,gains
30,36.0,observed,gains
31,90.0,observed,gains
32,50.0,observed,gains
33,3.0,observed,gains
34,65.0,observed,gains
35,100.0,observed,gains
36,120.0,observed,gains
37,8.0,observed,gains
38,60.0,observed,gains
39,100.0,observed,gains
40,120.0,observed,gains
41,70.0,observed,gains
42,60.0,observed,gains
43,75.0,observed,gains
44,50.0,observed,gains
45,70.0,observed,gains
46,60.0,observed,gains
47,100.0,observed,gains
48,50.0,observed,gains
49,60.0,alone,gains
50,80.0,alone,gains
51,35.0,alone,gains
52,70.0,alone,gains
53,56.0,alone,gains
54,20.0,alone,gains
55,65.0,alone,gains
56,125.0,alone,gains
57,60.0,alone,gains
58,65.0,alone,gains
59,25.0,alone,gains
60,60.0,alone,gains
61,42.0,alone,gains
62,50.0,alone,gains
63,50.0,alone,gains
64,70.0,alone,gains
65,10.0,alone,gains
66,50.0,alone,gains
67,100.0,alone,gains
68,8.0,alone,gains
69,50.0,alone,gains
70,30.0,alone,gains
71,90.0,alone,gains
72,50.0,alone,gains
73,100.0,alone,gains
74,45.0,alone,gains
75,35.0,alone,gains
76,100.0,alone,gains
77,70.0,alone,gains
78,40.0,alone,gains
79,50.0,alone,gains
80,80.0,alone,gains
81,30.0,alone,gains
82,30.0,alone,gains
83,80.0,alone,gains
84,50.0,alone,gains
85,50.0,alone,gains
86,50.0,alone,gains
87,45.0,alone,gains
88,50.0,alone,gains
89,40.0,alone,gains
90,80.0,alone,gains
91,6.0,alone,gains
92,48.0,alone,gains
93,100.0,alone,gains
94,20.0,alone,gains
95,35.0,alone,gains
96,60.0,alone,gains
0,50.0,observed,losses
1,40.0,observed,losses
2,70.0,observed,losses
3,25.0,observed,losses
4,40.0,observed,losses
5,41.0,observed,losses
6,30.0,observed,losses
7,65.0,observed,losses
8,35.0,observed,losses
9,59.0,observed,losses
10,38.0,observed,losses
11,40.0,observed,losses
12,100.0,observed,losses
13,100.0,observed,losses
14,40.0,observed,losses
15,35.0,observed,losses
16,95.0,observed,losses
17,50.0,observed,losses
18,45.0,observed,losses
19,25.0,observed,losses
20,50.0,observed,losses
21,55.0,observed,losses
22,40.0,observed,losses
23,90.0,observed,losses
24,80.0,observed,losses
25,35.0,observed,losses
26,30.0,observed,losses
27,40.0,observed,losses
28,40.0,observed,losses
29,50.0,observed,losses
30,30.0,observed,losses
31,75.0,observed,losses
32,60.0,observed,losses
33,6.0,observed,losses
34,75.0,observed,losses
35,75.0,observed,losses
36,100.0,observed,losses
37,7.0,observed,losses
38,70.0,observed,losses
39,50.0,observed,losses
40,95.0,observed,losses
41,50.0,observed,losses
42,54.0,observed,losses
43,100.0,observed,losses
44,40.0,observed,losses
45,60.0,observed,losses
46,50.0,observed,losses
47,80.0,observed,losses
48,45.0,observed,losses
49,70.0,alone,losses
50,30.0,alone,losses
51,30.0,alone,losses
52,40.0,alone,losses
53,36.0,alone,losses
54,30.0,alone,losses
55,80.0,alone,losses
56,75.0,alone,losses
57,40.0,alone,losses
58,60.0,alone,losses
59,15.0,alone,losses
60,55.0,alone,losses
61,39.0,alone,losses
62,30.0,alone,losses
63,40.0,alone,losses
64,60.0,alone,losses
65,25.0,alone,losses
66,40.0,alone,losses
67,0.0,alone,losses
68,9.0,alone,losses
69,30.0,alone,losses
70,35.0,alone,losses
71,75.0,alone,losses
72,30.0,alone,losses
73,50.0,alone,losses
74,65.0,alone,losses
75,30.0,alone,losses
76,80.0,alone,losses
77,60.0,alone,losses
78,30.0,alone,losses
79,30.0,alone,losses
80,50.0,alone,losses
81,40.0,alone,losses
82,15.0,alone,losses
83,90.0,alone,losses
84,40.0,alone,losses
85,25.0,alone,losses
86,20.0,alone,losses
87,30.0,alone,losses
88,40.0,alone,losses
89,30.0,alone,losses
90,70.0,alone,losses
91,6.0,alone,losses
92,42.0,alone,losses
93,80.0,alone,losses
94,20.0,alone,losses
95,30.0,alone,losses
96,50.0,alone,losses
