Team,Member,play_order_skill,earned_points,spectators_n,recalled_points,perceived_contribution_1_10,team_outcome,tournament,match_type,gender,Adcp,accuracy_recalled_minus_earned,team_size,Teamsize,outcomexspec
1.0,1.0,1.0,10.0,26.0,10.0,5.0,,2015.5.13,Double,Male,28.0,0.0,7.0,19.0,26.0
1.0,2.0,1.0,10.0,26.0,10.0,5.0,,2015.5.13,Double,Female,28.0,0.0,7.0,19.0,26.0
1.0,3.0,2.0,24.0,17.0,24.0,4.0,,2015.5.13,Single,Male,19.0,0.0,7.0,19.0,17.0
1.0,4.0,3.0,23.0,33.0,23.0,7.0,,2015.5.13,Double,Male,37.0,0.0,7.0,19.0,33.0
1.0,5.0,3.0,23.0,33.0,23.0,8.0,,2015.5.13,Double,Male,37.0,0.0,7.0,19.0,33.0
1.0,6.0,4.0,15.0,23.0,14.0,5.0,,2015.5.13,Double,Male,27.0,-1.0,7.0,19.0,23.0
1.0,7.0,4.0,15.0,23.0,14.0,5.0,,2015.5.13,Double,Male,27.0,-1.0,7.0,19.0,23.0
2.0,8.0,1.0,22.0,26.0,22.0,4.0,,2015.5.13,Single,Male,29.0,0.0,8.0,18.0,-26.0
2.0,9.0,2.0,13.0,14.0,13.0,10.0,,2015.5.13,Single,Male,16.0,0.0,8.0,18.0,-14.0
2.0,10.0,3.0,3.0,14.0,3.0,3.0,,2015.5.13,Double,Male,18.0,0.0,8.0,18.0,-14.0
2.0,11.0,3.0,3.0,14.0,3.0,3.0,,2015.5.13,Double,Male,18.0,0.0,8.0,18.0,-14.0
2.0,12.0,4.0,10.0,29.0,10.0,10.0,,2015.5.13,Double,Male,33.0,0.0,8.0,18.0,-29.0
2.0,13.0,4.0,10.0,29.0,10.0,8.0,,2015.5.13,Double,Male,33.0,0.0,8.0,18.0,-29.0
2.0,14.0,5.0,14.0,23.0,10.0,5.0,,2015.5.13,Double,Male,27.0,-4.0,8.0,18.0,-23.0
2.0,15.0,5.0,14.0,23.0,10.0,5.0,,2015.5.13,Double,Male,27.0,-4.0,8.0,18.0,-23.0
3.0,16.0,1.0,29.0,11.0,25.0,3.0,,2015.5.13,Double,Female,15.0,-4.0,16.0,18.0,11.0
