ID,IPAddress,StartDate,EndDate,observed_manipulation,action_type,estimated_solved_or_skipped,actual_solved,accuracy_solved,actual_worked,manipulation_check,gender,age,condition_recall,accuracy_worked,incorrect_answers
R_bwPom1C7ustJsRT,58.247.52.2,2016-03-03 16:14:47.000000,2016-03-03 16:25:02.999998,,,0.0,0.0,0.0,0.0,Observed,Female,20.0,2.0,0.0,0.0
R_1GI2mCQZCDN42q1,58.247.52.2,2016-03-03 13:17:01.000000,2016-03-04 13:41:34.999998,,,5.0,6.0,1.0,8.0,Unobserved,Female,19.0,Correct,3.0,2.0
R_2lyJcIDvfC6yNEx,108.61.250.50,2016-03-04 15:14:00.000000,2016-03-04 15:27:22.000000,,,5.0,6.0,1.0,7.0,Unobserved,Female,19.0,Correct,2.0,1.0
R_3sDmZ2HmSUcj7j7,61.129.42.14,2016-03-04 15:27:32.000002,2016-03-04 15:34:04.999998,,,6.0,13.0,7.0,14.0,Unobserved,Female,18.0,Correct,8.0,1.0
R_eJQgSDCjgxoyJAF,58.247.52.2,2016-03-03 13:46:38.999998,2016-03-03 16:30:53.999998,,,8.0,12.0,4.0,12.0,Unobserved,Female,19.0,Correct,4.0,0.0
R_blsOsfolauyqhzn,58.247.52.2,2016-03-03 16:54:21.000002,2016-03-04 13:26:58.000002,,,8.0,0.0,-8.0,0.0,Unobserved,Female,20.0,Correct,-8.0,0.0
R_0CBPviE87MfTsRD,108.61.250.50,2016-03-04 13:24:44.999998,2016-03-04 13:36:48.000000,,,8.0,9.0,1.0,9.0,Unobserved,Female,19.0,Correct,1.0,0.0
R_01XvoHX7kdi0l0h,58.247.52.2,2016-03-04 13:43:04.000000,2016-03-04 13:48:28.000000,,,8.0,12.0,4.0,12.0,Unobserved,Female,19.0,Correct,4.0,0.0
R_abInHXlLWyTteN7,58.247.52.2,2016-03-04 13:58:02.000000,2016-03-04 15:03:51.999998,,,8.0,7.0,-1.0,7.0,Unobserved,Male,19.0,Correct,-1.0,0.0
R_1RkQlQQfPrsTOMl,58.247.52.2,2016-03-04 16:24:02.000000,2016-03-04 16:32:26.000000,,,8.0,10.0,2.0,10.0,Unobserved,Male,20.0,Correct,2.0,0.0
R_8oE08qbbQtQJ4DH,108.61.250.50,2016-03-04 14:43:19.999998,2016-03-04 15:12:07.000000,,,9.0,11.0,2.0,13.0,Unobserved,Female,18.0,Correct,4.0,2.0
R_5cXX2bIM5j51tnT,58.247.52.2,2016-03-04 13:26:55.999998,2016-03-04 15:28:47.999998,,,9.0,17.0,8.0,17.0,Unobserved,Female,19.0,Correct,8.0,0.0
R_6LQhWQfCvwuvYbz,58.247.52.2,2016-03-03 12:51:36.000000,2016-03-03 13:01:21.000000,,,10.0,21.0,11.0,22.0,Unobserved,Female,19.0,Correct,12.0,1.0
R_516eRfYmBy5UFdb,58.247.52.2,2016-03-03 13:02:48.000000,2016-03-03 13:17:04.000000,,,10.0,18.0,8.0,18.0,Unobserved,Male,19.0,Correct,8.0,0.0
R_8oDxMVY4PcEKiAl,58.247.52.2,2016-03-03 13:15:46.000000,2016-03-03 14:03:00.000000,,,10.0,11.0,1.0,11.0,Unobserved,Male,20.0,Correct,1.0,0.0
R_ehT69vOf6ubdenj,58.247.52.2,2016-03-03 16:02:32.000000,2016-03-03 16:16:24.000000,,,10.0,22.0,12.0,22.0,Unobserved,Male,20.0,Correct,12.0,0.0
R_8vOCNeTp7mfLO2F,108.61.250.50,2016-03-04 13:59:52.000002,2016-03-04 14:12:57.000000,,,10.0,15.0,5.0,18.0,Unobserved,Female,18.0,Correct,8.0,3.0
R_3k5AmPcfOl3XaLz,58.247.52.2,2016-03-04 13:41:08.999998,2016-03-04 15:28:53.999998,,,10.0,8.0,-2.0,9.0,Unobserved,Female,20.0,Correct,-1.0,1.0
R_cDaa9It2m592ZFz,58.247.52.2,2016-03-04 15:02:07.000000,2016-03-04 15:32:22.000000,,,10.0,14.0,4.0,14.0,Unobserved,Female,14.0,Correct,4.0,0.0
R_3eEuCLotfCteJMN,58.247.52.2,2016-03-04 16:05:32.000002,2016-03-04 16:12:51.999998,,,10.0,12.0,2.0,12.0,Unobserved,Female,19.0,Correct,2.0,0.0
R_bBJWvLx40CIasy9,58.247.52.2,2016-03-03 13:00:10.000000,2016-03-03 13:16:32.999998,,,11.0,8.0,-3.0,12.0,Unobserved,Female,18.0,Correct,1.0,4.0
R_9ubBOyPHOAmDNsN,108.61.250.50,2016-03-03 15:25:04.000000,2016-03-03 15:38:19.000000,,,11.0,16.0,5.0,18.0,Unobserved,Female,19.0,Correct,7.0,2.0
R_9NNGBV2gcu3rHO5,58.247.52.2,2016-03-03 12:25:13.000002,2016-03-03 12:35:01.000000,,,12.0,13.0,1.0,13.0,Unobserved,Male,20.0,Correct,1.0,0.0
R_ePcgunhUWtZGejP,58.247.52.2,2016-03-03 13:11:36.000000,2016-03-03 15:29:14.000000,,,12.0,14.0,2.0,15.0,Unobserved,Male,20.0,Correct,3.0,1.0
R_1ZhA9TxeaNNcuMZ,58.247.52.2,2016-03-04 12:17:32.000000,2016-03-04 12:26:25.000000,,,12.0,17.0,5.0,17.0,Unobserved,Female,19.0,Correct,5.0,0.0
R_cAYcGXHgywZbfpz,58.247.52.2,2016-03-03 16:51:23.000002,2016-03-04 12:58:12.999998,,,12.0,16.0,4.0,16.0,Unobserved,Female,20.0,Correct,4.0,0.0
R_cZKeT7H11NEOouN,108.61.250.50,2016-03-04 16:00:46.000000,2016-03-04 16:32:23.000000,,,12.0,15.0,3.0,15.0,Unobserved,Male,18.0,Correct,3.0,0.0
R_3Vihq372KHIMU4J,58.247.52.2,2016-03-03 12:37:46.000000,2016-03-03 12:45:35.000000,,,13.0,13.0,0.0,13.0,Unobserved,Female,19.0,Correct,0.0,0.0
R_4JvFqo9FkdoEmZD,108.61.250.50,2016-03-03 13:03:54.000000,2016-03-03 13:13:13.000000,,,13.0,12.0,-1.0,12.0,Unobserved,Female,20.0,Correct,-1.0,0.0
R_1SNE8FPwjY9MSSF,108.61.250.50,2016-03-04 15:00:22.000000,2016-03-04 15:11:16.000000,,,14.0,15.0,1.0,15.0,Unobserved,Female,18.0,Correct,1.0,0.0
R_6y4hfvAnjHDIq0d,58.247.52.2,2016-03-03 12:20:46.000000,2016-03-03 12:31:45.000000,,,15.0,11.0,-4.0,11.0,Unobserved,Female,20.0,Correct,-4.0,0.0
R_afSDUvl0848bbr7,58.247.52.2,2016-03-03 12:49:26.000000,2016-03-03 12:56:42.999998,,,15.0,18.0,3.0,18.0,Unobserved,Female,20.0,Correct,3.0,0.0
R_50fuXHZA53M9WIZ,58.247.52.2,2016-03-03 15:08:54.000000,2016-03-03 15:25:04.000000,,,15.0,21.0,6.0,21.0,Unobserved,Female,18.0,Correct,6.0,0.0
R_6LhYUmfB5GxaAiV,58.247.52.2,2016-03-03 15:17:35.000000,2016-03-03 15:28:10.000002,,,15.0,21.0,6.0,21.0,Unobserved,Female,18.0,Correct,6.0,0.0
R_6AsAXZ3ftxV1QTr,58.247.52.2,2016-03-03 14:57:08.000002,2016-03-03 16:30:17.000002,,,15.0,18.0,3.0,18.0,Unobserved,Female,19.0,Correct,3.0,0.0
R_aWdhBSaYAz0smdD,58.247.52.2,2016-03-03 16:56:08.999998,2016-03-03 17:08:06.000000,,,15.0,10.0,-5.0,10.0,Unobserved,Female,20.0,Correct,-5.0,0.0
R_02ozf7mX1srqHn7,58.247.52.2,2016-03-03 16:51:13.000000,2016-03-04 12:43:50.000000,,,15.0,20.0,5.0,20.0,Unobserved,Female,19.0,Correct,5.0,0.0
R_73PwmgogMRYthc1,58.247.52.2,2016-03-04 12:49:16.000000,2016-03-04 12:58:31.000000,,,15.0,15.0,0.0,15.0,Unobserved,Female,20.0,Correct,0.0,0.0
R_eDUAavYdbpwnGT3,108.61.250.50,2016-03-03 17:03:10.000000,2016-03-04 13:08:04.000000,,,15.0,16.0,1.0,17.0,Unobserved,Female,19.0,Correct,2.0,1.0
R_bCujOl0qIzIYLK5,58.247.52.2,2016-03-04 13:29:34.000000,2016-03-04 13:57:01.000000,,,15.0,20.0,5.0,20.0,Unobserved,Female,19.0,Correct,5.0,0.0
R_4VkTYI4hvDvDqZv,58.247.52.2,2016-03-04 13:39:53.000000,2016-03-04 15:06:29.000000,,,15.0,20.0,5.0,20.0,Unobserved,Male,20.0,Correct,5.0,0.0
R_3E58Hw2oaF10Amh,58.247.52.2,2016-03-04 15:46:28.000000,2016-03-04 15:52:37.000000,,,15.0,16.0,1.0,16.0,Unobserved,Female,18.0,Correct,1.0,0.0
R_8ct3Y184RRtoDNX,61.129.42.14,2016-03-04 16:00:01.000000,2016-03-04 16:11:01.000000,,,15.0,16.0,1.0,17.0,Unobserved,Male,19.0,Correct,2.0,1.0
R_73UU8BuRULgljcV,108.61.250.50,2016-03-04 15:58:40.000002,2016-03-04 16:36:20.000000,,,15.0,15.0,0.0,15.0,Unobserved,Male,22.0,Correct,0.0,0.0
R_3jBWChHYGsnSQQZ,58.247.52.2,2016-03-03 15:45:37.000000,2016-03-03 15:54:07.000000,,,16.0,17.0,1.0,18.0,Unobserved,Male,21.0,Correct,2.0,1.0
R_dhTlhdDO4jFGHo9,58.247.52.2,2016-03-03 16:27:15.000000,2016-03-03 16:33:47.000002,,,16.0,21.0,5.0,21.0,Unobserved,Female,20.0,Correct,5.0,0.0
R_4T6axBiOoXnTSxT,58.247.52.2,2016-03-03 16:59:30.000000,2016-03-04 12:25:54.000000,,,16.0,15.0,-1.0,15.0,Unobserved,Male,20.0,Correct,-1.0,0.0
R_0lfo6sbeZJ82NmZ,58.247.52.2,2016-03-04 12:51:19.000002,2016-03-04 12:57:46.000000,,,16.0,18.0,2.0,18.0,Unobserved,Female,20.0,Correct,2.0,0.0
R_6r1b3OdT8MuiKod,58.247.52.2,2016-03-03 12:29:27.000002,2016-03-03 12:37:05.000002,,,18.0,17.0,-1.0,19.0,Unobserved,Female,18.0,Correct,1.0,2.0
R_2l5auQJBT3s99op,58.247.52.2,2016-03-04 13:34:22.999998,2016-03-04 14:16:27.000002,,,18.0,19.0,1.0,19.0,Unobserved,Male,19.0,Correct,1.0,0.0
R_eQV00qIwZEHc1V3,108.61.250.50,2016-03-04 13:31:35.000000,2016-03-04 14:43:08.999998,,,18.0,17.0,-1.0,17.0,Unobserved,Female,19.0,Correct,-1.0,0.0
R_6eQHfNdEifhQXGZ,58.247.52.2,2016-03-04 16:47:53.000000,2016-03-04 16:55:17.000000,,,18.0,22.0,4.0,24.0,Unobserved,Female,18.0,Correct,6.0,2.0
R_9GDozCKhs8ybj7v,58.247.52.2,2016-03-03 16:18:14.999998,2016-03-03 16:35:42.000002,,,19.0,18.0,-1.0,19.0,Unobserved,Female,21.0,Correct,0.0,1.0
R_ewYB7wWEdm3cqzP,58.247.52.2,2016-03-03 12:25:57.000000,2016-03-03 12:33:29.000000,,,20.0,21.0,1.0,21.0,Unobserved,Female,20.0,Correct,1.0,0.0
R_9WTeMJG3DvZIIER,108.61.250.50,2016-03-03 12:37:07.000000,2016-03-03 13:02:08.000002,,,20.0,24.0,4.0,24.0,Unobserved,Male,20.0,Correct,4.0,0.0
R_1ZTQOVliU09KXqd,58.247.52.2,2016-03-03 13:30:37.000000,2016-03-03 14:29:19.000002,,,20.0,17.0,-3.0,17.0,Unobserved,Female,18.0,Correct,-3.0,0.0
R_9GZl5owwgfrqxRb,58.247.52.2,2016-03-03 14:18:37.000000,2016-03-03 14:54:54.000000,,,20.0,15.0,-5.0,15.0,Unobserved,Female,19.0,Correct,-5.0,0.0
R_9TbN90G7Kwma2q1,58.247.52.2,2016-03-04 12:08:16.000000,2016-03-04 12:39:08.999998,,,20.0,18.0,-2.0,20.0,Unobserved,Female,19.0,Correct,0.0,2.0
R_56E2l9ntFbODxvn,58.247.52.2,2016-03-04 14:08:47.000002,2016-03-04 14:16:35.000000,,,20.0,27.0,7.0,28.0,Unobserved,Female,18.0,Correct,8.0,1.0
R_eA3c6AuER4nIT2Z,58.247.52.2,2016-03-04 14:51:38.999998,2016-03-04 15:24:27.000000,,,20.0,20.0,0.0,20.0,Unobserved,Female,20.0,Correct,0.0,0.0
R_01XA4nbKKLtuK0J,108.61.250.50,2016-03-04 15:35:32.000000,2016-03-04 15:41:18.999998,,,20.0,18.0,-2.0,20.0,Unobserved,Female,18.0,Correct,0.0,2.0
R_80zoJjeDdQYduKN,108.61.250.50,2016-03-04 15:57:19.000000,2016-03-04 16:04:46.999998,,,20.0,13.0,-7.0,13.0,Unobserved,Male,20.0,Correct,-7.0,0.0
R_3kGcelMXPDeRzSJ,108.61.250.50,2016-03-04 15:55:25.999998,2016-03-04 16:14:05.000000,,,20.0,17.0,-3.0,19.0,Unobserved,Female,19.0,Correct,-1.0,2.0
R_bxOgU8HT8RdxbY9,58.247.52.2,2016-03-04 16:51:59.999998,2016-03-04 17:00:46.000000,,,20.0,18.0,-2.0,18.0,Unobserved,Male,18.0,Correct,-2.0,0.0
R_0NjRisFmxvds1NP,58.247.52.2,2016-03-03 16:24:43.000000,2016-03-03 16:31:06.000000,,,25.0,18.0,-7.0,20.0,Unobserved,Male,20.0,Correct,-5.0,2.0
R_bdTp7qkYBlx77jT,58.247.52.2,2016-03-03 13:07:36.000002,2016-03-03 16:35:16.000000,,,25.0,26.0,1.0,26.0,Unobserved,Male,19.0,Correct,1.0,0.0
R_3RaZIgxZW9MqYPb,58.247.52.2,2016-03-04 14:14:12.000000,2016-03-04 15:24:59.000000,,,25.0,20.0,-5.0,20.0,Unobserved,Male,21.0,Correct,-5.0,0.0
R_2hRTa10U2GRWSnX,108.61.250.50,2016-03-04 16:03:54.000000,2016-03-04 16:12:55.999998,,,25.0,28.0,3.0,28.0,Unobserved,Male,20.0,Correct,3.0,0.0
R_eQeTozcsP5fdQ3P,58.247.52.2,2016-03-03 12:29:23.000000,2016-03-03 12:37:58.000000,,,0.0,19.0,,19.0,Unobserved,Female,18.0,Correct,,0.0
R_3guQcd11hRRWxWR,58.247.52.2,2016-03-03 12:32:16.000000,2016-03-03 12:43:19.000000,,,0.0,19.0,,19.0,Unobserved,Male,22.0,Correct,,0.0
R_9p3F96z8fvg0Akt,58.247.52.2,2016-03-03 13:19:38.999998,2016-03-03 14:46:17.999998,,,0.0,17.0,,17.0,Unobserved,Male,19.0,Correct,,0.0
R_9WBB1SamDKeHVFb,58.247.52.2,2016-03-03 15:09:59.000000,2016-03-03 15:29:50.000000,,,0.0,17.0,,17.0,Unobserved,Male,20.0,Correct,,0.0
R_5bsRktTLuMjTFGt,58.247.52.2,2016-03-03 13:25:02.000000,2016-03-03 15:42:31.000000,,,0.0,18.0,,18.0,Unobserved,Male,19.0,Correct,,0.0
R_1U4yx6xhPbAXu6N,58.247.52.2,2016-03-03 15:06:36.999998,2016-03-03 15:48:28.000002,,,0.0,26.0,,26.0,Unobserved,Female,21.0,Correct,,0.0
R_7aNrux7QWIEKxZb,58.247.52.2,2016-03-03 15:51:15.000002,2016-03-03 16:01:16.000000,,,0.0,18.0,,18.0,Unobserved,Female,19.0,Correct,,0.0
R_egPwvCcIShJTYkB,108.61.250.50,2016-03-03 16:14:00.000000,2016-03-03 16:27:47.000000,,,0.0,19.0,,19.0,Unobserved,Female,19.0,Correct,,0.0
R_dmxKpTooKKI39IN,58.247.52.2,2016-03-03 16:13:02.000000,2016-03-03 16:27:55.000000,,,0.0,2.0,,3.0,Unobserved,Female,19.0,Correct,,1.0
R_79j3fKk5SMnRxpb,58.247.52.2,2016-03-03 16:01:36.000000,2016-03-03 16:34:35.000000,,,0.0,21.0,,23.0,Unobserved,Male,21.0,Correct,,2.0
R_0STgvhXtaRpWg4d,58.247.52.2,2016-03-03 16:54:25.000000,2016-03-03 17:00:16.000000,,,0.0,15.0,,15.0,Unobserved,Male,19.0,Correct,,0.0
R_6SbUsAER170m2Sp,58.247.52.2,2016-03-03 17:21:36.000000,2016-03-04 12:28:04.000000,,,0.0,18.0,,18.0,Unobserved,Female,18.0,Correct,,0.0
R_8J4oHuYtoR4sZlr,58.247.52.2,2016-03-04 12:58:52.000000,2016-03-04 13:07:54.000000,,,0.0,16.0,,16.0,Unobserved,Female,18.0,Correct,,0.0
R_73Wp3ZgX464WDaJ,58.247.52.2,2016-03-04 13:05:25.999998,2016-03-04 13:12:36.999998,,,0.0,19.0,,19.0,Unobserved,Female,20.0,Correct,,0.0
R_0JPVR6vJEiRk5dX,58.247.52.2,2016-03-04 13:28:33.999998,2016-03-04 13:38:52.000000,,,0.0,10.0,,10.0,Unobserved,Male,18.0,Correct,,0.0
R_3VkNnnN5urW3EeV,108.61.250.50,2016-03-04 14:19:11.000002,2016-03-04 14:28:34.000000,,,0.0,21.0,,21.0,Unobserved,Female,19.0,Correct,,0.0
R_2t8n3MBHEOVC1bn,58.247.52.2,2016-03-04 14:16:56.000000,2016-03-04 14:28:38.000000,,,0.0,20.0,,20.0,Unobserved,Female,20.0,Correct,,0.0
R_diqKdcfyYxjWTlP,58.247.52.2,2016-03-04 13:18:51.999998,2016-03-04 14:31:38.999998,,,0.0,13.0,,13.0,Unobserved,Female,20.0,Correct,,0.0
R_6kVkjLLcZNfBqNT,58.247.52.2,2016-03-04 14:48:38.999998,2016-03-04 15:25:28.000000,,,0.0,15.0,,15.0,Unobserved,Female,19.0,Correct,,0.0
R_bxEhY29oR36uewt,58.247.52.2,2016-03-04 13:48:35.000000,2016-03-04 15:27:47.000000,,,0.0,26.0,,26.0,Unobserved,Female,20.0,Correct,,0.0
R_0jtGY5LarA1VD13,58.247.52.2,2016-03-04 15:23:49.999998,2016-03-04 15:29:33.999998,,,0.0,19.0,,19.0,Unobserved,Male,18.0,Correct,,0.0
R_eQVK4WGqXTVXmLj,58.247.52.2,2016-03-04 13:41:17.999998,2016-03-04 15:31:51.999998,,,0.0,27.0,,27.0,Unobserved,Female,19.0,Correct,,0.0
R_6ms8wiSFimuQfzL,108.61.250.50,2016-03-04 15:50:49.999998,2016-03-04 15:57:53.000002,,,0.0,18.0,,19.0,Unobserved,Male,19.0,Correct,,1.0
R_cHfzenl3XL0N2ex,58.247.52.2,2016-03-04 15:44:58.000000,2016-03-04 16:00:09.000002,,,0.0,16.0,,16.0,Unobserved,Male,18.0,Correct,,0.0
R_cuyEYzZT2NDnGWp,58.247.52.2,2016-03-04 16:07:30.000000,2016-03-04 16:13:38.000002,,,0.0,12.0,,12.0,Unobserved,Female,20.0,Correct,,0.0
R_1zAja902VAWDYGx,58.247.52.2,2016-03-03 12:22:19.999998,2016-03-03 12:31:57.000000,,,1.0,16.0,,16.0,Unobserved,Female,19.0,Correct,,0.0
R_2rg6KH94j51JbCZ,58.247.52.2,2016-03-03 16:00:06.000000,2016-03-03 16:05:46.000000,,,1.0,15.0,,16.0,Unobserved,Female,22.0,Correct,,1.0
R_9vonjoTz69RUuLr,58.247.52.2,2016-03-04 13:36:44.000000,2016-03-04 13:46:21.000000,,,1.0,15.0,,17.0,Unobserved,Female,19.0,Correct,,2.0
R_7UJdgU7ZpaDa4Ml,58.247.52.2,2016-03-04 13:38:17.000000,2016-03-04 14:15:30.000002,,,1.0,9.0,,9.0,Unobserved,Female,20.0,Correct,,0.0
R_3dSiizPW0do7KFn,61.129.42.14,2016-03-04 14:13:28.000002,2016-03-04 14:43:16.000000,,,1.0,14.0,,14.0,Unobserved,Female,19.0,Correct,,0.0
R_7ajXtR4e2QQJbql,58.247.52.2,2016-03-04 14:26:54.000000,2016-03-04 15:26:24.000002,,,1.0,16.0,,16.0,Unobserved,Male,19.0,Correct,,0.0
R_0x567cd9GFVfeSx,58.247.52.2,2016-03-03 15:07:08.000000,2016-03-03 15:42:00.000000,,,2.0,28.0,,29.0,Unobserved,Female,19.0,Correct,,1.0
R_6W0VkjXhT22oVh3,58.247.52.2,2016-03-03 17:07:44.000000,2016-03-03 17:13:25.000000,,,2.0,23.0,,23.0,Unobserved,Male,19.0,Correct,,0.0
R_cUB77IIH4gk7pXL,58.247.52.2,2016-03-03 17:21:01.000000,2016-03-04 12:25:18.999998,,,2.0,14.0,,15.0,Unobserved,Female,19.0,Correct,,1.0
R_0xoxfmMmKL31t0F,108.61.250.50,2016-03-03 12:26:22.999998,2016-03-03 12:34:09.000000,,,3.0,5.0,,5.0,Unobserved,Male,19.0,Correct,,0.0
R_50fdg6mgYMdJJyd,58.247.52.2,2016-03-03 14:23:56.000000,2016-03-03 14:38:21.000000,,,3.0,11.0,,11.0,Unobserved,Female,20.0,Correct,,0.0
R_enRDCf9eGFstZhr,58.247.52.2,2016-03-04 15:26:51.000000,2016-03-04 15:32:48.000000,,,3.0,9.0,,10.0,Unobserved,Female,18.0,Correct,,1.0
R_beAFgFqfE20cpxz,108.61.250.50,2016-03-04 15:01:40.000002,2016-03-04 15:15:14.000000,,,4.0,15.0,,15.0,Unobserved,Male,19.0,Correct,,0.0
R_5gUo00X4nPw9l41,58.247.52.2,2016-03-04 15:47:58.000000,2016-03-04 15:54:10.999998,,,4.0,10.0,,10.0,Unobserved,Female,20.0,Correct,,0.0
R_6DaSRlFP8LjzU7r,58.247.52.2,2016-03-03 13:12:32.000002,2016-03-03 14:55:14.000000,,,5.0,11.0,,11.0,Unobserved,Female,20.0,Correct,,0.0
R_ea1Z2zdVoCCBMzP,58.247.52.2,2016-03-03 16:45:30.000000,2016-03-03 16:52:25.999998,,,5.0,24.0,,24.0,Unobserved,Female,19.0,Correct,,0.0
R_eKkC6am3gumCyNf,108.61.250.50,2016-03-04 15:34:49.999998,2016-03-04 15:41:30.000000,,,5.0,14.0,,14.0,Unobserved,Female,19.0,Correct,,0.0
R_abDeKE5SLhSWcFn,58.247.52.2,2016-03-04 15:37:06.000002,2016-03-04 15:43:12.000000,,,5.0,19.0,,19.0,Unobserved,Female,19.0,Correct,,0.0
R_3eeuUjNzM1T7VNb,58.247.52.2,2016-03-04 16:11:11.000002,2016-03-04 16:18:23.000000,,,5.0,9.0,,12.0,Unobserved,Female,22.0,Correct,,3.0
