Obs,Action,Estimate
Unobserved,Action,0.0
Unobserved,Action,5.0
Unobserved,Action,5.0
Unobserved,Action,6.0
Unobserved,Action,8.0
Unobserved,Action,8.0
Unobserved,Action,8.0
Unobserved,Action,8.0
Unobserved,Action,8.0
Unobserved,Action,8.0
Unobserved,Action,9.0
Unobserved,Action,9.0
Unobserved,Action,10.0
Unobserved,Action,10.0
Unobserved,Action,10.0
Unobserved,Action,10.0
Unobserved,Action,10.0
Unobserved,Action,10.0
Unobserved,Action,10.0
Unobserved,Action,10.0
Unobserved,Action,11.0
Unobserved,Action,11.0
Unobserved,Action,12.0
Unobserved,Action,12.0
Unobserved,Action,12.0
Unobserved,Action,12.0
Unobserved,Action,12.0
Unobserved,Action,13.0
Unobserved,Action,13.0
Unobserved,Action,14.0
Unobserved,Action,15.0
Unobserved,Action,15.0
Unobserved,Action,15.0
Unobserved,Action,15.0
Unobserved,Action,15.0
Unobserved,Action,15.0
Unobserved,Action,15.0
Unobserved,Action,15.0
Unobserved,Action,15.0
Unobserved,Action,15.0
Unobserved,Action,15.0
Unobserved,Action,15.0
Unobserved,Action,15.0
Unobserved,Action,15.0
Unobserved,Action,16.0
Unobserved,Action,16.0
Unobserved,Action,16.0
Unobserved,Action,16.0
Unobserved,Action,18.0
Unobserved,Action,18.0
Unobserved,Action,18.0
Unobserved,Action,18.0
Unobserved,Action,19.0
Unobserved,Action,20.0
Unobserved,Action,20.0
Unobserved,Action,20.0
Unobserved,Action,20.0
Unobserved,Action,20.0
Unobserved,Action,20.0
Unobserved,Action,20.0
Unobserved,Action,20.0
Unobserved,Action,20.0
Unobserved,Action,20.0
Unobserved,Action,20.0
Unobserved,Action,25.0
Unobserved,Action,25.0
Unobserved,Action,25.0
Unobserved,Action,25.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,0.0
Unobserved,Inaction,1.0
Unobserved,Inaction,1.0
Unobserved,Inaction,1.0
Unobserved,Inaction,1.0
Unobserved,Inaction,1.0
Unobserved,Inaction,1.0
Unobserved,Inaction,2.0
Unobserved,Inaction,2.0
Unobserved,Inaction,2.0
Unobserved,Inaction,3.0
Unobserved,Inaction,3.0
Unobserved,Inaction,3.0
Unobserved,Inaction,4.0
Unobserved,Inaction,4.0
Unobserved,Inaction,5.0
Unobserved,Inaction,5.0
Unobserved,Inaction,5.0
Unobserved,Inaction,5.0
Unobserved,Inaction,5.0
Unobserved,Inaction,6.0
Unobserved,Inaction,6.0
Unobserved,Inaction,6.0
Unobserved,Inaction,7.0
Unobserved,Inaction,7.0
Unobserved,Inaction,8.0
Unobserved,Inaction,8.0
Unobserved,Inaction,9.0
Unobserved,Inaction,10.0
Unobserved,Inaction,10.0
Unobserved,Inaction,10.0
Unobserved,Inaction,10.0
Unobserved,Inaction,12.0
Unobserved,Inaction,13.0
Unobserved,Inaction,15.0
Unobserved,Inaction,15.0
Unobserved,Inaction,20.0
Observed,Action,2.0
Observed,Action,5.0
Observed,Action,5.0
Observed,Action,6.0
Observed,Action,8.0
Observed,Action,8.0
Observed,Action,9.0
Observed,Action,10.0
Observed,Action,10.0
Observed,Action,10.0
Observed,Action,10.0
Observed,Action,10.0
Observed,Action,10.0
Observed,Action,10.0
Observed,Action,10.0
Observed,Action,10.0
Observed,Action,12.0
Observed,Action,12.0
Observed,Action,12.0
Observed,Action,13.0
Observed,Action,14.0
Observed,Action,15.0
Observed,Action,15.0
Observed,Action,15.0
Observed,Action,15.0
Observed,Action,15.0
Observed,Action,15.0
Observed,Action,15.0
Observed,Action,15.0
Observed,Action,15.0
Observed,Action,15.0
Observed,Action,15.0
Observed,Action,15.0
Observed,Action,15.0
Observed,Action,15.0
Observed,Action,15.0
Observed,Action,16.0
Observed,Action,20.0
Observed,Action,20.0
Observed,Action,20.0
Observed,Action,20.0
Observed,Action,20.0
Observed,Action,20.0
Observed,Action,20.0
Observed,Action,20.0
Observed,Action,20.0
Observed,Action,20.0
Observed,Action,20.0
Observed,Action,20.0
Observed,Action,20.0
Observed,Action,20.0
Observed,Action,20.0
Observed,Action,20.0
Observed,Action,20.0
Observed,Action,20.0
Observed,Action,25.0
Observed,Action,25.0
Observed,Action,25.0
Observed,Action,25.0
Observed,Action,28.0
Observed,Action,30.0
Observed,Action,30.0
Observed,Action,30.0
Observed,Action,32.0
Observed,Action,35.0
Observed,Inaction,
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,0.0
Observed,Inaction,1.0
Observed,Inaction,1.0
Observed,Inaction,1.0
Observed,Inaction,1.0
Observed,Inaction,1.0
Observed,Inaction,1.0
Observed,Inaction,1.0
Observed,Inaction,1.0
Observed,Inaction,1.0
Observed,Inaction,2.0
Observed,Inaction,3.0
Observed,Inaction,3.0
Observed,Inaction,3.0
Observed,Inaction,3.0
Observed,Inaction,3.0
Observed,Inaction,3.0
Observed,Inaction,3.0
Observed,Inaction,3.0
Observed,Inaction,4.0
Observed,Inaction,4.0
Observed,Inaction,4.0
Observed,Inaction,5.0
Observed,Inaction,5.0
Observed,Inaction,5.0
