V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q32,Q33,Q34,camera,no_camera,Q27,Q22_1,Q22_2,Q22_3,Q22_4,Q37,Q26,Q27.0,Q29,Q31,Q33.0,Q39,Q41,Q4,Q6,Q8,Q12,Q22,Q23,Q24,Q38_1,Q38_2,Q38_3,Q38_4,Q40,Q42,Q30,LocationLatitude,LocationLongitude,LocationAccuracy,condition,calorie
R_1dxVp254CUul673,Default Response Set,Anonymous,,,128.135.208.6,0,2015/6/23 12:08,2015/6/23 12:35,1,1,NA,1,NA,1,1,0,0,225.082,0,1,1,&nbsp;,many,&nbsp;,&nbsp;,all,not at all,1,Male,22,No,People are more comfortable eating alone?,no,NA,0,0,30.018,0,1,fb,0,41.780395507812,-87.60269928,-1,no camera,6.5
R_6PTRloJLLfTPvax,Default Response Set,Anonymous,,,128.135.208.6,0,2015/6/23 12:35,2015/6/23 12:50,1,1,NA,1,NA,1,1,0,0,198.72,0,1,1,&nbsp;,&nbsp;,very much,very much,all,not at all,1,Male,33,Yes,If I had considered the healthiness of the snack prior to eating it.,yes,1,0,0,30.018,0,1,fb,0,41.780395507812,-87.60269928,-1,no camera,8
R_27gmAXawrmB7h1k,Default Response Set,Anonymous,,,128.135.241.67,0,2015/6/23 12:50,2015/6/23 13:41,1,1,1,NA,1,NA,1,0,0,201.524,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,most,&nbsp;,1,Female,23,Yes,People are mire conscious of what they eat when being watched,no,NA,0,0,30.015,0,1,fb,10,41.780395507812,-87.60269928,-1,camera,4
R_e3ZxDp5N9GcXpeh,Default Response Set,Anonymous,,,128.135.241.67,0,2015/6/23 13:41,2015/6/23 14:01,1,1,NA,1,NA,1,1,0,0,212.109,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Female,22,No,Our perception of food when we feel that we are being observed versus when we don't feel that we are being observed. The observation can be by our own mind or another person.,yes,1,0,0,30.017,0,1,fb,0,41.780395507812,-87.60269928,-1,no camera,5.5
R_2qqtU20ciGV0vIK,Default Response Set,Anonymous,,,128.135.241.67,0,2015/6/23 14:01,2015/6/23 14:13,1,1,1,NA,1,NA,1,0,0,184.849,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,30,No,To test the response of food taste test upon direct observation via recording,yes,1,0,0,30.018,0,1,fb,0,41.780395507812,-87.60269928,-1,camera,6
R_2PtbJ5mLqIwazru,Default Response Set,Anonymous,,,128.135.241.67,0,2015/6/23 14:13,2015/6/23 14:25,1,1,NA,1,NA,1,1,0,0,200.24,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,30,Yes,,no,NA,0,0,30.052,0,1,fb,0,41.780395507812,-87.60269928,-1,no camera,3.5
R_22l6wCzCeTUqC2o,Default Response Set,Anonymous,,,128.135.241.67,0,2015/6/23 14:25,2015/6/23 14:45,1,1,1,NA,1,NA,1,0,0,182.674,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,very much,1,Male,25,No,Eat under pressure is not fun,yes,1,0,0,30.02,0,1,"fb, came and got me w 15 sec left",0,41.780395507812,-87.60269928,-1,camera,8
R_3gNiWC9hnwHPoie,Default Response Set,Anonymous,,,128.135.241.67,0,2015/6/23 14:45,2015/6/23 15:28,1,1,1,NA,1,NA,1,3.315,3.315,183.604,1,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,21,Yes,Whether being viewed by others affected our perceptions?,yes,1,0,0,30.026,0,1,fb,0,41.780395507812,-87.60269928,-1,camera,6
R_2P56QBVK7ZaAO9V,Default Response Set,Anonymous,,,128.135.241.67,0,2015/6/23 15:28,2015/6/23 15:42,1,1,NA,1,NA,1,1,0,0,208.638,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,20,Yes,That ia person's desire for a food will impact their perception of its nutritional benefits,no,NA,0,0,30.023,0,1,Fb,0,41.780395507812,-87.60269928,-1,no camera,5.5
R_1g8bwgw2MCR6678,Default Response Set,Anonymous,,,128.135.241.67,0,2015/6/23 15:42,2015/6/23 15:52,1,1,NA,1,NA,1,1,0,0,200.319,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,21,Yes,How "feelimg observed" relates to perceived unhealthiness of snack,no,NA,0,0,30.019,0,1,Fb,0,41.780395507812,-87.60269928,-1,no camera,5.5
