"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Q32","Q22_1","Q22_2","Q22_3","Q22_4","Q37","Q25","Q29","Q38","Q26","Q30","Q33","Q34","Q27","Q19","Q20","Q31","Q18","Q34.0","Q35","Q26.0","Q31.0","Q4","Q6","Q8","Q12","Q22","Q23","Q24","Q38_1","Q38_2","Q38_3","Q38_4","Q40","Q42","Q30.0","Q35.0","Q36","LocationLatitude","LocationLongitude","LocationAccuracy","grapes_total","almonds_total","mm_total","condition","Zgrapes","Zalmonds","Zmm","zoverall_food","Zgrapes_total","Zalmonds_total","Zmm_total","mm_grams","mm_accuracy","grapes_grams","grapes_accuracy","almonds_grams","almond_accuracy","overall_grams_inaccurate","overall_grams_eaten"
"R_efVYvxYB0eiICln","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-13 12:16:23,2015-02-13 13:17:32,1,1,0,0,300.082,0,1,1,NA,1,1,42,20,10,"&nbsp;","&nbsp;","&nbsp;",1,"very much","very satisfied","&nbsp;","not at all","&nbsp;",1,"Female",20,"Yes","People will make more health conscious decisions if they feel as if they are watched.","yes",1,0,0,29.75,0,1,"",NA,NA,NA,"41.780395507812","-87.602699279785","-1",NA,NA,NA,"observed",2.26987438213461,0.722244381231559,-0.217635786796317,2.77448297656985,NA,NA,NA,8,NA,126,NA,24,NA,NA,NA
"R_eD60ZK2t1UY2azP","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-13 13:17:39,2015-02-13 14:13:15,1,1,0,0,300.097,0,1,1,NA,1,1,20,12,20,"&nbsp;","&nbsp;","&nbsp;",1,"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;",1,"Female",18,"Yes","That being alone affects the way people eat","yes",1,0,0,30.026,0,1,"",129,101,100,"41.780395507812","-87.602699279785","-1",85,13,14,"observed",0.175024273172984,-0.0910066646592043,0.767353765514599,0.851371374028379,0.101025191645425,-0.268540319523875,0.0175389482792623,16,-2,60,25,14.4,-1.4,21.6,112
"R_1MTLn5c0lQf0O3j","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-13 14:13:26,2015-02-13 14:32:34,1,1,0,0,300.082,0,1,NA,1,1,1,10,1,5,"&nbsp;","&nbsp;","&nbsp;",1,"&nbsp;","very satisfied","&nbsp;","not at all","not at all",1,"Male",18,"Yes","If people would feel strange to eat or not","yes",1,0,0,23.15,0,1,"",179,111,110,"41.780395507812","-87.602699279785","-1",35,3,4,"control",-0.777180321809572,-1.209226852759,-0.710130562951775,-2.69653773752035,-0.842616708339314,-0.995837018234371,-0.811574970376529,4,0,30,5,1.2,1.8,6.8,42
"R_4JirvHtQmycOavH","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-13 14:32:43,2015-02-13 14:50:25,1,1,0,0,300.093,0,1,NA,1,1,1,10,10,9,"&nbsp;","&nbsp;","&nbsp;",1,"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;",1,"Female",20,"Yes","Girls will eat less food/food consumed will be inversely correlated with feeling like being watched","yes",1,0,0,29.057,0,1,"",174,110,101,"41.780395507812","-87.602699279785","-1",40,4,13,"control",-0.777180321809572,-0.294319426131895,-0.316134742027408,-1.38763448996888,-0.74825251834084,-0.923107348363321,-0.0653724435863168,7.2,5.8,30,10,12,-8,7.8,57
"R_9zzcmumrAhlMLhX","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-13 14:50:39,2015-02-13 15:08:54,1,1,0,0,300.124,0,1,1,NA,1,1,25,2,9,"&nbsp;","&nbsp;","&nbsp;",1,"very much","very satisfied","very satisfied","not at all","not at all",1,"Female",18,"Yes","If people eat different foods based on if they know they are being watched.","no",NA,0,0,22.802,0,1,"",72,112,110,"41.780395507812","-87.602699279785","-1",142,2,4,"observed",0.651126570664262,-1.10757047202266,-0.316134742027408,-0.772578643385804,1.17677695762803,-1.06856668810542,-0.811574970376529,7.2,-3.2,75,67,2.4,-0.4,63.4,148
"R_b27e5daFSUeFEgJ","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-13 15:09:04,2015-02-13 15:31:12,1,1,0,0,300.082,0,1,1,NA,1,1,50,6,8,"&nbsp;","&nbsp;","very much",1,"very much","very satisfied","very satisfied","not at all","&nbsp;",1,"Female",20,"Yes","How observation affects self indulgence or perception of self control","yes",1,0,0,22.713,0,1,"",NA,107,107,"41.780395507812","-87.602699279785","-1",NA,7,7,"observed",3.03163805812065,-0.700944949077277,-0.4146336972585,1.91605941178488,NA,-0.704918338750172,-0.562840794779791,6.4,0.6,150,NA,7.2,-0.199999999999999,0.4,14
"R_aav0OsNbyzNs0eh","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-13 15:35:55,2015-02-13 16:00:37,1,1,0,0,300.127,0,1,1,NA,1,1,7,14,5,"&nbsp;","&nbsp;","&nbsp;",1,"very much","very satisfied","very satisfied","not at all","not at all",1,"Female",27,"Yes","How long do people snack for....","no",NA,0,0,30.026,0,1,"",171,97,106,"41.780395507812","-87.602699279785","-1",43,17,8,"observed",-1.06284170030434,0.112306096813486,-0.710130562951775,-1.66066616644263,-0.691634004341755,0.0223783599603239,-0.479929402914212,4,4,21,22,16.8,0.199999999999999,26.2,68
"R_09s5pb6IBxmfJPL","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-13 16:00:51,2015-02-13 16:12:01,1,1,0,0,300.094,0,1,NA,1,1,1,10,12,20,"&nbsp;","&nbsp;","&nbsp;",1,"very much","very satisfied","very satisfied","&nbsp;","&nbsp;",1,"Female",20,"Yes","How people react to snacks when presented with a large amount and told to eat as much as they want.","no",NA,18.915,18.915,22.736,1,1,"",169,99,89,"41.780395507812","-87.602699279785","-1",45,15,25,"control",-0.777180321809572,-0.0910066646592043,0.767353765514599,-0.100833220954177,-0.653888328342366,-0.123080979781775,0.929564258800632,16,9,30,15,14.4,0.600000000000001,24.6,85
"R_eDQK0DS7PZ1BYjP","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-13 16:15:59,2015-02-13 16:25:28,1,1,0,0,301.176,0,1,NA,1,1,1,15,12,20,"&nbsp;","&nbsp;","&nbsp;",1,"very much","very satisfied","very satisfied","not at all","not at all",1,"Female",18,"Yes","Women cared more about what they ate","no",NA,21.514,21.514,24.045,1,1,"",117,97,85,"41.780395507812","-87.602699279785","-1",97,17,29,"control",-0.301078024318294,-0.0910066646592043,0.767353765514599,0.375269076537101,0.327499247641762,0.0223783599603239,1.26120982626295,16,13,45,52,14.4,2.6,67.6,143
"R_9FQsM7oPgLBHHgx","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-13 16:25:38,2015-02-16 12:42:31,1,1,0,0,300.437,0,1,NA,1,1,1,10,7,8,"&nbsp;","&nbsp;","&nbsp;",1,"&nbsp;","&nbsp;","&nbsp;","not at all","not at all",1,"Male",50,"Yes","Emotions connected to different food tastes","no",NA,19.628,19.628,21.051,1,1,"",0,109,105,"41.780395507812","-87.602699279785","-1",214,5,9,"control",-0.777180321809572,-0.599288568340931,-0.4146336972585,-1.791102587409,2.53562129360605,-0.850377678492272,-0.397018011048633,6.4,2.6,30,184,8.4,-3.4,183.2,228
