"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","A1.1","stay","leave","A1.4","A2.1","A2.2","A2.3","A2.4","A3.1","A3.2","A3.3","Q138","A3.4","A3.5","A3.6","Q139","A3.7","A3.8","A3.9","Q140","A3.10","A3.11","A3.12","Q141","A3.13","A3.14","A3.15","Q142","A3.16","A3.17","A3.18","Q143","A3.19","A3.20","A3.21","Q144","A3.22","A3.23","A3.24","Q145","A3.25","A3.26","A3.27","Q146","A3.28","A3.29","A3.30","Q147","A3.31","A3.32","A3.33","Q148","A3.34","A3.35","A3.36","Q149","A3.37","A3.38","A3.39","Q150","A3.40","A3.41","A3.42","Q151","A3.43","A3.44","A3.45","Q152","A3.46","A3.47","A3.48","Q153","A3.49","A3.50","A3.51","Q154","A3.52","A3.53","A3.54","Q155","A3.55","A3.56","A3.57","Q156","A3.58","A3.59","A3.60","Q157","A3.61","A3.62","A3.63","Q158","A3.64","A3.65","A3.66","Q159","A3.67","A3.68","A3.69","Q160","A3.70","A3.71","A3.72","Q161","A3.73","A3.74","A3.75","Q162","A3.76","A3.77","A3.78","Q163","A3.79","A3.80","A3.81","Q164","A3.82","A3.83","A3.84","Q165","A3.85","A3.86","A3.87","Q166","A3.88","A3.89","A3.90","Q167","A3.91","A3.92","A3.93","Q168","A4.1","A4.2","A4.3","A4.4","A5.1","A5.2","A5.3","A6.1","A6.2","A6.3","A6.4","A6.5","A6.6","A6.7","A6.8","A6.9_1","A6.9_2","A6.9_3","A6.9_4","A7.1","LocationLatitude","LocationLongitude","LocationAccuracy","condition","accuracy_gain","accuracy_lost","accuracy_lost_new","comment"
"R_2R7Fj4GMBk8V4WP","Default Response Set","Anonymous","","","128.135.213.148","0",2015-10-19 12:38:56,2015-10-19 12:47:27,1,1,NA,1,1,1,NA,1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,4111,44,44,NA,NA,NA,"very observed",1,"Male",19,"No","",1,1,0,0,120.004,0,"ran by MB","41.780395507812","-87.602699279785","-1",NA,3986,-29,-40,"excluded from analyses because +147SD above mean"
"R_1YcgEE8BE96Wg4F","Default Response Set","Anonymous","","","128.135.213.175","0",2015-10-13 13:28:39,2015-10-13 13:37:57,1,1,1,NA,1,1,1,NA,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,70,50,20,50,60,0,"very observed",1,"Male",23,"Yes","Testing under observation",1,1,0,0,49.104,0,"Went pretty quickly at first, but slowed down noticeably once he got a few wrong. 
MB","41.780395507812","-87.602699279785","-1","observed",-55,-23,-34,""
"R_Zt3sJddif8acHnj","Default Response Set","Anonymous","","","128.135.213.175","0",2015-10-13 14:55:44,2015-10-13 15:03:16,1,1,1,NA,1,1,1,NA,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,70,40,30,60,30,30,"&nbsp;",1,"Female",18,"No","~What was the impact of the number of points on the next similar decision made?",1,1,0,0,48.541,0,"Ran by MB","41.780395507812","-87.602699279785","-1","observed",-55,-33,-44,""
"R_1JPnPlp309f6Xws","Default Response Set","Anonymous","","","128.135.213.175","0",2015-10-13 15:14:37,2015-10-13 15:27:34,1,1,1,NA,1,1,1,NA,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,50,70,-20,80,40,40,"&nbsp;",1,"Male",19,"Yes","To determine if the presence of the experimenter has an effect on our responses",1,1,0,0,48.518,0,"MMS","41.780395507812","-87.602699279785","-1","observed",-75,-3,-14,""
"R_2wFutN3AusLWMs6","Default Response Set","Anonymous","","","128.135.213.175","0",2015-10-13 15:37:03,2015-10-13 15:44:35,1,1,1,NA,1,1,1,NA,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,35,25,10,40,30,10,"&nbsp;",1,"Male",18,"Yes","It is quite difficult to distinguish between a fake and real smile, as they often look very similar.",1,1,0,0,47.526,0,"MMS","41.780395507812","-87.602699279785","-1","observed",-90,-48,-59,""
"R_1GEnSDJ7CE47YBI","Default Response Set","Anonymous","","","128.135.213.175","0",2015-10-13 15:57:33,2015-10-13 16:36:47,1,1,1,NA,1,1,1,NA,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,30,40,-10,40,40,0,"&nbsp;",1,"Female",18,"No","People are unable to truly differentiate between a real and fake smile.",1,1,1.281,1.281,64.437,1,"MMS","41.780395507812","-87.602699279785","-1","observed",-95,-33,-44,""
"R_3kj1eKXo9SEmsFp","Default Response Set","Anonymous","","","128.135.213.175","0",2015-10-13 16:36:52,2015-10-13 16:49:07,1,1,1,NA,1,1,1,NA,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,30,41,50,40,30,60,"&nbsp;",1,"Male",18,"Yes","to observe the multitasking thought process oh handling being watched while making decisions",1,1,81.365,81.365,81.716,1,"MMS","41.780395507812","-87.602699279785","-1","observed",-95,-32,-43,""
"R_2rpYCQhHtxE5koq","Default Response Set","Anonymous","","","128.135.213.175","0",2015-10-13 17:01:04,2015-10-15 13:41:41,1,1,1,NA,1,1,1,NA,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,50,30,50,40,60,40,"&nbsp;",1,"Female",38,"Yes","How being watched changes the results of the experiment (e.g., less accurate the more one feels ""watched"").",1,1,0,0,51.389,0,"Tilted head to match the angle of the people in the photos
MB","41.780395507812","-87.602699279785","-1","observed",-75,-43,-54,""
"R_0xf3CF9LHO3RIFH","Default Response Set","Anonymous","","","128.135.213.175","0",2015-10-15 13:53:32,2015-10-15 14:05:07,1,1,1,NA,1,1,1,NA,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,80,65,15,85,60,25,"very observed",1,"Female",19,"Yes","How people react to expressions while being observed",1,1,0,0,61.355,0,"Ran by MB
","41.780395507812","-87.602699279785","-1","observed",-45,-8,-19,""
"R_2TKQP9omGiIpVUz","Default Response Set","Anonymous","","","128.135.213.175","0",2015-10-15 14:32:01,2015-10-15 14:41:42,1,1,1,NA,1,1,1,NA,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,45,35,10,45,35,10,"&nbsp;",1,"Female",20,"Yes","To test whether being observed makes people change their strategy/click speed",1,1,0,0,120.005,0,"Ran by MB","41.780395507812","-87.602699279785","-1","observed",-80,-38,-49,""
