"Team","Member","Order","Point","Adc","Recalled","Overclm","Outcome","Tnm","Game","Gender","Adcp","Accuracy","Teammate","Teamsize","outcomexspec"
1,1,1,10,26,10,5,"win","2015.5.13","Double","Male",28,0,7,19,26
1,2,1,10,26,10,5,"win","2015.5.13","Double","Female",28,0,7,19,26
1,3,2,24,17,24,4,"win","2015.5.13","Single","Male",19,0,7,19,17
1,4,3,23,33,23,7,"win","2015.5.13","Double","Male",37,0,7,19,33
1,5,3,23,33,23,8,"win","2015.5.13","Double","Male",37,0,7,19,33
1,6,4,15,23,14,5,"win","2015.5.13","Double","Male",27,-1,7,19,23
1,7,4,15,23,14,5,"win","2015.5.13","Double","Male",27,-1,7,19,23
2,8,1,22,26,22,4,"loss","2015.5.13","Single","Male",29,0,8,18,-26
2,9,2,13,14,13,10,"loss","2015.5.13","Single","Male",16,0,8,18,-14
2,10,3,3,14,3,3,"loss","2015.5.13","Double","Male",18,0,8,18,-14
2,11,3,3,14,3,3,"loss","2015.5.13","Double","Male",18,0,8,18,-14
2,12,4,10,29,10,10,"loss","2015.5.13","Double","Male",33,0,8,18,-29
2,13,4,10,29,10,8,"loss","2015.5.13","Double","Male",33,0,8,18,-29
2,14,5,14,23,10,5,"loss","2015.5.13","Double","Male",27,-4,8,18,-23
2,15,5,14,23,10,5,"loss","2015.5.13","Double","Male",27,-4,8,18,-23
3,16,1,29,11,25,3,"win","2015.5.13","Double","Female",15,-4,16,18,11
3,17,1,29,11,25,3,"win","2015.5.13","Double","Female",15,-4,16,18,11
3,18,2,10,8,10,2,"win","2015.5.13","Single","Male",10,0,16,18,8
3,19,3,19,15,15,1,"win","2015.5.13","Double","Male",18,-4,16,18,15
3,20,3,19,15,15,1,"win","2015.5.13","Double","Male",18,-4,16,18,15
3,21,4,10,20,7,6,"win","2015.5.13","Double","Female",23,-3,16,18,20
3,22,4,10,20,9,4,"win","2015.5.13","Double","Female",23,-1,16,18,20
3,23,5,21,16,26,5,"win","2015.5.13","Double","Male",20,5,16,18,16
3,24,5,21,16,24,5,"win","2015.5.13","Double","Female",20,3,16,18,16
3,25,6,8,9,4,4,"win","2015.5.13","Double","Male",13,-4,16,18,9
3,26,6,8,9,4,4,"win","2015.5.13","Double","Male",13,-4,16,18,9
3,27,7,13,11,16,2,"win","2015.5.13","Single","Male",14,3,16,18,11
3,28,8,13,26,13,4,"win","2015.5.13","Double","Male",30,0,16,18,26
3,29,8,13,26,13,6,"win","2015.5.13","Double","Male",30,0,16,18,26
3,30,9,22,16,22,5,"win","2015.5.13","Single","Male",18,0,16,18,16
3,31,10,5,33,5,4,"win","2015.5.13","Single","Male",35,0,16,18,33
4,32,1,9,10,10,2,"loss","2015.5.13","Double","Female",14,1,15,19,-10
4,33,1,9,10,10,2,"loss","2015.5.13","Double","Male",14,1,15,19,-10
4,34,2,8,6,10,10,"loss","2015.5.13","Double","Female",10,2,15,19,-6
4,35,2,8,6,10,8,"loss","2015.5.13","Double","Female",10,2,15,19,-6
4,36,3,19,14,19,6,"loss","2015.5.13","Double","Female",18,0,15,19,-14
4,37,3,19,14,19,6,"loss","2015.5.13","Double","Female",18,0,15,19,-14
4,38,4,11,20,12,7,"loss","2015.5.13","Single","Male",23,1,15,19,-20
4,39,5,16,22,20,5,"loss","2015.5.13","Single","Male",25,4,15,19,-22
4,40,6,10,16,9,7,"loss","2015.5.13","Single","Male",19,-1,15,19,-16
4,41,7,22,8,14,7,"loss","2015.5.13","Double","Male",11,-8,15,19,-8
4,42,7,22,8,14,7,"loss","2015.5.13","Double","Male",11,-8,15,19,-8
