"ResponseID","IPAddress","StartDate","EndDate","Obs","Action","Estimate","Objcorrect","Accuracy","Objworked","Check","Gender","Age","Check2","accuracy_worked","incorrect"
"R_bwPom1C7ustJsRT","58.247.52.2",2016-03-03 16:14:47,2016-03-03 16:25:02.999998,"Unobserved","Action",0,0,0,0,"Observed","Female",20,"2",0,0
"R_1GI2mCQZCDN42q1","58.247.52.2",2016-03-03 13:17:01,2016-03-04 13:41:34.999998,"Unobserved","Action",5,6,1,8,"Unobserved","Female",19,"Correct",3,2
"R_2lyJcIDvfC6yNEx","108.61.250.50",2016-03-04 15:14:00,2016-03-04 15:27:22,"Unobserved","Action",5,6,1,7,"Unobserved","Female",19,"Correct",2,1
"R_3sDmZ2HmSUcj7j7","61.129.42.14",2016-03-04 15:27:32.000002,2016-03-04 15:34:04.999998,"Unobserved","Action",6,13,7,14,"Unobserved","Female",18,"Correct",8,1
"R_eJQgSDCjgxoyJAF","58.247.52.2",2016-03-03 13:46:38.999998,2016-03-03 16:30:53.999998,"Unobserved","Action",8,12,4,12,"Unobserved","Female",19,"Correct",4,0
"R_blsOsfolauyqhzn","58.247.52.2",2016-03-03 16:54:21.000002,2016-03-04 13:26:58.000002,"Unobserved","Action",8,0,-8,0,"Unobserved","Female",20,"Correct",-8,0
"R_0CBPviE87MfTsRD","108.61.250.50",2016-03-04 13:24:44.999998,2016-03-04 13:36:48,"Unobserved","Action",8,9,1,9,"Unobserved","Female",19,"Correct",1,0
"R_01XvoHX7kdi0l0h","58.247.52.2",2016-03-04 13:43:04,2016-03-04 13:48:28,"Unobserved","Action",8,12,4,12,"Unobserved","Female",19,"Correct",4,0
"R_abInHXlLWyTteN7","58.247.52.2",2016-03-04 13:58:02,2016-03-04 15:03:51.999998,"Unobserved","Action",8,7,-1,7,"Unobserved","Male",19,"Correct",-1,0
"R_1RkQlQQfPrsTOMl","58.247.52.2",2016-03-04 16:24:02,2016-03-04 16:32:26,"Unobserved","Action",8,10,2,10,"Unobserved","Male",20,"Correct",2,0
"R_8oE08qbbQtQJ4DH","108.61.250.50",2016-03-04 14:43:19.999998,2016-03-04 15:12:07,"Unobserved","Action",9,11,2,13,"Unobserved","Female",18,"Correct",4,2
"R_5cXX2bIM5j51tnT","58.247.52.2",2016-03-04 13:26:55.999998,2016-03-04 15:28:47.999998,"Unobserved","Action",9,17,8,17,"Unobserved","Female",19,"Correct",8,0
"R_6LQhWQfCvwuvYbz","58.247.52.2",2016-03-03 12:51:36,2016-03-03 13:01:21,"Unobserved","Action",10,21,11,22,"Unobserved","Female",19,"Correct",12,1
"R_516eRfYmBy5UFdb","58.247.52.2",2016-03-03 13:02:48,2016-03-03 13:17:04,"Unobserved","Action",10,18,8,18,"Unobserved","Male",19,"Correct",8,0
"R_8oDxMVY4PcEKiAl","58.247.52.2",2016-03-03 13:15:46,2016-03-03 14:03:00,"Unobserved","Action",10,11,1,11,"Unobserved","Male",20,"Correct",1,0
"R_ehT69vOf6ubdenj","58.247.52.2",2016-03-03 16:02:32,2016-03-03 16:16:24,"Unobserved","Action",10,22,12,22,"Unobserved","Male",20,"Correct",12,0
"R_8vOCNeTp7mfLO2F","108.61.250.50",2016-03-04 13:59:52.000002,2016-03-04 14:12:57,"Unobserved","Action",10,15,5,18,"Unobserved","Female",18,"Correct",8,3
"R_3k5AmPcfOl3XaLz","58.247.52.2",2016-03-04 13:41:08.999998,2016-03-04 15:28:53.999998,"Unobserved","Action",10,8,-2,9,"Unobserved","Female",20,"Correct",-1,1
"R_cDaa9It2m592ZFz","58.247.52.2",2016-03-04 15:02:07,2016-03-04 15:32:22,"Unobserved","Action",10,14,4,14,"Unobserved","Female",14,"Correct",4,0
"R_3eEuCLotfCteJMN","58.247.52.2",2016-03-04 16:05:32.000002,2016-03-04 16:12:51.999998,"Unobserved","Action",10,12,2,12,"Unobserved","Female",19,"Correct",2,0
"R_bBJWvLx40CIasy9","58.247.52.2",2016-03-03 13:00:10,2016-03-03 13:16:32.999998,"Unobserved","Action",11,8,-3,12,"Unobserved","Female",18,"Correct",1,4
"R_9ubBOyPHOAmDNsN","108.61.250.50",2016-03-03 15:25:04,2016-03-03 15:38:19,"Unobserved","Action",11,16,5,18,"Unobserved","Female",19,"Correct",7,2
